execution_order,score_drop_rank,condition,family,kind,n_features,runs,mean_score_delta,std_score_delta,score_delta_sem,score_delta_ci95,mean_score_delta_pct,mean_lines_delta,std_lines_delta,mean_score,std_score,median_score,mean_lines,mean_pieces,baseline_mean_score,baseline_mean_lines,feature_indices,feature_names
71,46,horizontal_hole_clusteredness_row_5,horizontal_hole_clusteredness,individual,1.0,100.0,105.4,458.1548853716382,45.81548853716382,89.7983575328411,15.222414789139226,2.05,6.965100592426951,587.0,505.9674201991965,470.0,11.31,66.53,692.4,13.36,70,horizontal_hole_clusteredness_row_5
72,43,horizontal_hole_clusteredness_row_6,horizontal_hole_clusteredness,individual,1.0,100.0,110.6,604.4311458727207,60.44311458727206,118.46850459105325,15.973425765453495,1.96,9.844159423103363,581.8,527.8207148935205,440.0,11.4,66.84,692.4,13.36,71,horizontal_hole_clusteredness_row_6
73,38,horizontal_hole_clusteredness_row_7,horizontal_hole_clusteredness,individual,1.0,100.0,130.4,684.1671483407304,68.41671483407303,134.09676107478313,18.833044482957828,2.93,11.768177428981941,562.0,600.0303022651136,340.0,10.43,64.21,692.4,13.36,72,horizontal_hole_clusteredness_row_7
74,34,horizontal_hole_clusteredness_row_8,horizontal_hole_clusteredness,individual,1.0,100.0,136.8,708.9313055293834,70.89313055293835,138.95053588375916,19.757365684575394,2.39,11.399889242772263,555.6,569.2424879618616,380.0,10.97,65.88,692.4,13.36,73,horizontal_hole_clusteredness_row_8
75,64,horizontal_hole_clusteredness_row_9,horizontal_hole_clusteredness,individual,1.0,100.0,59.8,790.4198858578876,79.04198858578876,154.92229762814597,8.636626227614096,1.13,12.021575721521819,632.6,592.5030281642773,410.0,12.23,69.04,692.4,13.36,74,horizontal_hole_clusteredness_row_9
76,36,horizontal_hole_clusteredness_row_10,horizontal_hole_clusteredness,individual,1.0,100.0,133.4,722.0512587081475,72.20512587081475,141.5220467067969,19.266320046216062,2.14,11.572363456079142,559.0,512.8913878762011,420.0,11.22,66.39,692.4,13.36,75,horizontal_hole_clusteredness_row_10
77,48,horizontal_hole_clusteredness_row_11,horizontal_hole_clusteredness,individual,1.0,100.0,99.8,703.8852925374312,70.38852925374312,137.96151733733652,14.41363373772386,1.36,11.597213179697679,592.6,495.93625364230803,490.0,12.0,68.49,692.4,13.36,76,horizontal_hole_clusteredness_row_11
78,42,horizontal_hole_clusteredness_row_12,horizontal_hole_clusteredness,individual,1.0,100.0,113.8,833.5960555559172,83.35960555559173,163.3848268889598,16.435586366262278,1.89,14.179865509185404,578.6,623.5075433109503,340.0,11.47,66.98,692.4,13.36,77,horizontal_hole_clusteredness_row_12
79,59,horizontal_hole_clusteredness_row_13,horizontal_hole_clusteredness,individual,1.0,100.0,70.6,787.2491680054368,78.72491680054368,154.3008369290656,10.196418255343731,1.33,13.106444555595118,621.8,615.9174482268733,400.0,12.03,68.59,692.4,13.36,78,horizontal_hole_clusteredness_row_13
80,80,horizontal_hole_clusteredness_row_14,horizontal_hole_clusteredness,individual,1.0,100.0,29.8,804.2337214938694,80.42337214938695,157.6298094127984,4.303870595031774,0.91,14.18285705855609,662.6,749.516504087128,420.0,12.45,69.34,692.4,13.36,79,horizontal_hole_clusteredness_row_14
81,75,horizontal_hole_clusteredness_row_15,horizontal_hole_clusteredness,individual,1.0,100.0,37.6,656.2044520027907,65.62044520027908,128.616072592547,5.430387059503177,0.52,11.998720470504049,654.8,615.3105153522328,420.0,12.84,70.53,692.4,13.36,80,horizontal_hole_clusteredness_row_15
82,49,horizontal_hole_clusteredness_row_16,horizontal_hole_clusteredness,individual,1.0,100.0,95.4,795.501772912588,79.55017729125879,155.91834749086723,13.778162911611785,1.73,12.40304214882198,597.0,563.6990027102812,420.0,11.63,67.49,692.4,13.36,81,horizontal_hole_clusteredness_row_16
83,67,horizontal_hole_clusteredness_row_17,horizontal_hole_clusteredness,individual,1.0,100.0,52.4,885.149214151564,88.51492141515641,173.48924597370655,7.56787983824379,1.18,14.981726242730549,640.0,776.6439065464672,420.0,12.18,69.27,692.4,13.36,82,horizontal_hole_clusteredness_row_17
84,70,horizontal_hole_clusteredness_row_18,horizontal_hole_clusteredness,individual,1.0,100.0,44.2,891.7276161553714,89.17276161553714,174.7786127664528,6.383593298671289,0.71,13.614679392093482,648.2,686.8584315930796,380.0,12.65,69.85,692.4,13.36,83,horizontal_hole_clusteredness_row_18
85,94,horizontal_hole_clusteredness_row_19,horizontal_hole_clusteredness,individual,1.0,100.0,-89.0,910.0443989612859,91.00443989612859,178.36870219641202,-12.853841709994223,-0.88,14.474135762131224,781.4,805.4323388871671,540.0,14.24,74.35,692.4,13.36,84,horizontal_hole_clusteredness_row_19
86,51,mean_hole_depth,hole_summary,individual,1.0,100.0,94.6,968.2885244939479,96.82885244939479,189.78455080081378,13.66262276140959,1.88,15.718662908668906,597.8,670.7504917793368,410.0,11.48,67.0,692.4,13.36,85,mean_hole_depth
87,15,mean_hole_vertical_clusteredness,hole_summary,individual,1.0,100.0,204.8,791.4345497036671,79.14345497036672,155.12117174191877,29.57827845176199,3.17,13.967534506920689,487.6,441.05273511397155,360.0,10.19,63.83,692.4,13.36,86,mean_hole_vertical_clusteredness
88,50,hole_depth_deviation,hole_summary,individual,1.0,100.0,95.0,899.8063764785817,89.98063764785817,176.36204978980203,13.720392836510689,1.98,14.890835090651219,597.4,596.2621279710169,400.0,11.38,66.86,692.4,13.36,87,hole_depth_deviation
89,63,hole_vertical_instability,hole_summary,individual,1.0,100.0,60.0,860.7020859786973,86.07020859786972,168.69760885182464,8.665511265164644,1.43,13.951036310662163,632.4,701.0686215494259,400.0,11.93,68.39,692.4,13.36,88,hole_vertical_instability
90,6,mean_hole_edge_distance,hole_summary,individual,1.0,100.0,246.6,822.0253627289715,82.20253627289715,161.1169710948784,35.61525129982669,4.17,13.177157309050946,445.8,445.28774036253424,340.0,9.19,61.56,692.4,13.36,89,mean_hole_edge_distance
91,69,mean_hole_horizontal_clusteredness,hole_summary,individual,1.0,100.0,45.4,977.0450399551753,97.70450399551753,191.50082783121434,6.556903523974581,0.98,16.31320961922601,647.0,813.8616019144208,410.0,12.38,69.54,692.4,13.36,90,mean_hole_horizontal_clusteredness
92,88,hole_edge_distance_deviation,hole_summary,individual,1.0,100.0,-5.8,851.1586636503624,85.11586636503624,166.827098075471,-0.8376660889659157,-0.01,14.195955463270217,698.2,606.3508668562895,560.0,13.37,72.16,692.4,13.36,91,hole_edge_distance_deviation
93,90,hole_horizontal_instability,hole_summary,individual,1.0,100.0,-14.2,965.1766782315143,96.51766782315143,189.1746289333768,-2.050837666088966,0.25,16.270053671228208,706.6,800.4395509640156,440.0,13.11,71.25,692.4,13.36,92,hole_horizontal_instability
94,30,mean_hole_distance,hole_summary,individual,1.0,100.0,144.8,1039.9072219688785,103.99072219688784,203.82181550590016,20.912767186597346,2.79,16.89019499202679,547.6,732.0306887644324,320.0,10.57,64.96,692.4,13.36,93,mean_hole_distance
95,92,general_hole_clusteredness,hole_summary,individual,1.0,100.0,-31.2,991.113321553906,99.1113321553906,194.25821102456558,-4.506065857885615,-0.94,17.157511533442197,723.6,663.5160704591682,510.0,14.3,74.5,692.4,13.36,94,general_hole_clusteredness
